study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	base_count	experiment_alias	fastq_bytes	fastq_ftp	submitted_ftp	sample_alias
PRJEB14847	SAMEA4347653	ERX1610379	749906	gut metagenome	Illumina HiSeq 2000	AWF_HHOSW_r1	PAIRED	4742526486	exp_AWF_HHOSW_1_C0UT3ACXX.IND7	2176803055;2200607222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539347/ERR1539347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539347/ERR1539347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_HHOSW_1_1_C0UT3ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_HHOSW_1_2_C0UT3ACXX.IND7_clean.fastq.gz	sample_AWF_749906_C1-011
PRJEB14847	SAMEA4347647	ERX1610245	749906	gut metagenome	Illumina HiSeq 2000	AWF_NBOSW_r1	PAIRED	5380775820	exp_AWF_NBOSW_5_D14FJACXX.IND2	2597446884;2615108143	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539348/ERR1539348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539348/ERR1539348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NBOSW_5_1_D14FJACXX.IND2_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NBOSW_5_2_D14FJACXX.IND2_clean.fastq.gz	sample_AWF_749906_B1_184
PRJEB14847	SAMEA4347500	ERX1610429	749906	gut metagenome	Illumina HiSeq 2000	AWF_AATOSW_r1	PAIRED	2225302362	exp_AWF_AATOSW_2_HAYK8ADXX.IND32	970768341;1019355142	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539349/ERR1539349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539349/ERR1539349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AATOSW_2_1_HAYK8ADXX.IND32_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AATOSW_2_2_HAYK8ADXX.IND32_clean.fastq.gz	sample_AWF_749906_A1_082
PRJEB14847	SAMEA4347535	ERX1610149	749906	gut metagenome	Illumina HiSeq 2000	AWF_ISOSW_r1	PAIRED	5243717483	exp_AWF_ISOSW_3_C0UW8ACXX.IND12	2207018590;2261379963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539350/ERR1539350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539350/ERR1539350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_ISOSW_3_1_C0UW8ACXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_ISOSW_3_2_C0UW8ACXX.IND12_clean.fastq.gz	sample_AWF_749906_B1-115
PRJEB14847	SAMEA4347469	ERX1610140	749906	gut metagenome	Illumina HiSeq 2000	AWF_LPOSW_r1	PAIRED	4280681284	exp_AWF_LPOSW_1_D14RHACXX.IND12	1942896266;1963632659	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539351/ERR1539351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539351/ERR1539351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_LPOSW_1_1_D14RHACXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_LPOSW_1_2_D14RHACXX.IND12_clean.fastq.gz	sample_AWF_749906_A1_073
PRJEB14847	SAMEA4347724	ERX1610163	749906	gut metagenome	Illumina HiSeq 2000	AWF_QNOSW_r1	PAIRED	5467941060	exp_AWF_QNOSW_6_C1KG9ACXX.IND5	2492668506;2477959818	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539352/ERR1539352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539352/ERR1539352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_QNOSW_6_1_C1KG9ACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_QNOSW_6_2_C1KG9ACXX.IND5_clean.fastq.gz	sample_AWF_749906_A1 156
PRJEB14847	SAMEA4347702	ERX1610160	749906	gut metagenome	Illumina HiSeq 2000	AWF_GROSW_r1	PAIRED	5519628633	exp_AWF_GROSW_1_D11TTACXX.IND6	2596490727;2580329268	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539353/ERR1539353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539353/ERR1539353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GROSW_1_1_D11TTACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GROSW_1_2_D11TTACXX.IND6_clean.fastq.gz	sample_AWF_749906_B1-183
PRJEB14847	SAMEA4347636	ERX1610215	749906	gut metagenome	Illumina HiSeq 2000	AWF_APOSW_r1	PAIRED	6063468750	exp_AWF_APOSW_2_D11KBACXX.IND3	2750497279;2759635327	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539354/ERR1539354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539354/ERR1539354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_APOSW_2_1_D11KBACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_APOSW_2_2_D11KBACXX.IND3_clean.fastq.gz	sample_AWF_749906_A1-131
PRJEB14847	SAMEA4347517	ERX1610199	749906	gut metagenome	Illumina HiSeq 2000	AWF_GCOSW_r1	PAIRED	4659300558	exp_AWF_GCOSW_3_C0UT3ACXX.IND9	2180162935;2199458247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539355/ERR1539355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539355/ERR1539355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GCOSW_3_1_C0UT3ACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GCOSW_3_2_C0UT3ACXX.IND9_clean.fastq.gz	sample_AWF_749906_B1-042
PRJEB14847	SAMEA4347679	ERX1610382	749906	gut metagenome	Illumina HiSeq 2000	AWF_BBOSW_r1	PAIRED	3229583474	exp_AWF_BBOSW_1_C0KU9ACXX.IND1	1390102506;1392823594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539356/ERR1539356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539356/ERR1539356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BBOSW_1_1_C0KU9ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BBOSW_1_2_C0KU9ACXX.IND1_clean.fastq.gz	sample_AWF_749906_C1-021
PRJEB14847	SAMEA4347544	ERX1610145	749906	gut metagenome	Illumina HiSeq 2000	AWF_RQOSW_r1	PAIRED	6108017181	exp_AWF_RQOSW_3_C1JJBACXX.IND16	2848697299;2848121416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539357/ERR1539357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539357/ERR1539357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RQOSW_3_1_C1JJBACXX.IND16_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RQOSW_3_2_C1JJBACXX.IND16_clean.fastq.gz	sample_AWF_749906_B1-118
PRJEB14847	SAMEA4347714	ERX1610387	749906	gut metagenome	Illumina HiSeq 2000	AWF_LFOSW_r1	PAIRED	5022195922	exp_AWF_LFOSW_1_D14MKACXX.IND4	2365602457;2376628763	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539358/ERR1539358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_LFOSW_1_1_D14MKACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_LFOSW_1_2_D14MKACXX.IND4_clean.fastq.gz	sample_AWF_749906_A1_163
PRJEB14847	SAMEA4347474	ERX1610203	749906	gut metagenome	Illumina HiSeq 2000	AWF_HFOSW_r1	PAIRED	4884072641	exp_AWF_HFOSW_4_D11TTACXX.IND1	2288758493;2283863982	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539359/ERR1539359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539359/ERR1539359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_HFOSW_4_1_D11TTACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_HFOSW_4_2_D11TTACXX.IND1_clean.fastq.gz	sample_AWF_749906_B1-143
PRJEB14847	SAMEA4347655	ERX1610423	749906	gut metagenome	Illumina HiSeq 2000	AWF_GSOSW_r1	PAIRED	4483342184	exp_AWF_GSOSW_1_C0UT3ACXX.IND5	2061247011;2085785441	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539360/ERR1539360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539360/ERR1539360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GSOSW_1_1_C0UT3ACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GSOSW_1_2_C0UT3ACXX.IND5_clean.fastq.gz	sample_AWF_749906_C1-010
PRJEB14847	SAMEA4347583	ERX1610180	749906	gut metagenome	Illumina HiSeq 2000	AWF_KMOSW_r1	PAIRED	6049433558	exp_AWF_KMOSW_2_D11VRACXX.IND6	2654598185;2615353249	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539361/ERR1539361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539361/ERR1539361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_KMOSW_2_1_D11VRACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_KMOSW_2_2_D11VRACXX.IND6_clean.fastq.gz	sample_AWF_749906_A1-044
PRJEB14847	SAMEA4347652	ERX1610174	749906	gut metagenome	Illumina HiSeq 2000	AWF_AAHOSW_r1	PAIRED	3162822992	exp_AWF_AAHOSW_1_HAYK5ADXX.IND28	1437681889;1462961205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539362/ERR1539362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539362/ERR1539362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAHOSW_1_1_HAYK5ADXX.IND28_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_AAHOSW_1_2_HAYK5ADXX.IND28_clean.fastq.gz	sample_AWF_749906_B1_186
PRJEB14847	SAMEA4347468	ERX1610266	749906	gut metagenome	Illumina HiSeq 2000	AWF_ABGOSW_r1	PAIRED	4557902568	exp_AWF_ABGOSW_2_HAYJVADXX.IND40	1966985748;2060423494	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539363/ERR1539363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539363/ERR1539363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_ABGOSW_2_1_HAYJVADXX.IND40_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_ABGOSW_2_2_HAYJVADXX.IND40_clean.fastq.gz	sample_AWF_749906_B1_122
PRJEB14847	SAMEA4347567	ERX1610184	749906	gut metagenome	Illumina HiSeq 2000	AWF_BSOSW_r1	PAIRED	3673154348	exp_AWF_BSOSW_3_C0KU9ACXX.IND4	1607882526;1634817684	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539364/ERR1539364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539364/ERR1539364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BSOSW_3_1_C0KU9ACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BSOSW_3_2_C0KU9ACXX.IND4_clean.fastq.gz	sample_AWF_749906_B1-131
PRJEB14847	SAMEA4347685	ERX1610143	749906	gut metagenome	Illumina HiSeq 2000	AWF_CDOSW_r1	PAIRED	8466741542	exp_AWF_CDOSW_4_C0KU9ACXX.IND10	3878637205;3965249254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539365/ERR1539365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539365/ERR1539365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_CDOSW_4_1_C0KU9ACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_CDOSW_4_2_C0KU9ACXX.IND10_clean.fastq.gz	sample_AWF_749906_B1-191
PRJEB14847	SAMEA4347577	ERX1610233	749906	gut metagenome	Illumina HiSeq 2000	AWF_SVOSW_r1	PAIRED	5058349054	exp_AWF_SVOSW_1_C4VR1ACXX.IND14	2522589951;2478119240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539366/ERR1539366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539366/ERR1539366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_SVOSW_1_1_C4VR1ACXX.IND14_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_SVOSW_1_2_C4VR1ACXX.IND14_clean.fastq.gz	sample_AWF_749906_A1-048
PRJEB14847	SAMEA4347654	ERX1610166	749906	gut metagenome	Illumina HiSeq 2000	AWF_NMOSW_r1	PAIRED	5487704180	exp_AWF_NMOSW_3_D14FJACXX.IND12	2663207296;2692372466	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539367/ERR1539367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539367/ERR1539367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NMOSW_3_1_D14FJACXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_NMOSW_3_2_D14FJACXX.IND12_clean.fastq.gz	sample_AWF_749906_B1_185
PRJEB14847	SAMEA4347718	ERX1610268	749906	gut metagenome	Illumina HiSeq 2000	AWF_GDOSW_r1	PAIRED	5653130377	exp_AWF_GDOSW_3_C0UT3ACXX.IND10	2636713372;2653630117	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539368/ERR1539368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539368/ERR1539368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GDOSW_3_1_C0UT3ACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_GDOSW_3_2_C0UT3ACXX.IND10_clean.fastq.gz	sample_AWF_749906_B1-092
PRJEB14847	SAMEA4347587	ERX1610150	749906	gut metagenome	Illumina HiSeq 2000	AWF_BDOSW_r1	PAIRED	3635132069	exp_AWF_BDOSW_1_C0KU9ACXX.IND3	1579690188;1583372680	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539369/ERR1539369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539369/ERR1539369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BDOSW_1_1_C0KU9ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_BDOSW_1_2_C0KU9ACXX.IND3_clean.fastq.gz	sample_AWF_749906_B1-001
PRJEB14847	SAMEA4347695	ERX1610407	749906	gut metagenome	Illumina HiSeq 2000	AWF_QROSW_r1	PAIRED	6559217672	exp_AWF_QROSW_8_C1JDKACXX.IND8	3100714888;3118483894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539370/ERR1539370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539370/ERR1539370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_QROSW_8_1_C1JDKACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_QROSW_8_2_C1JDKACXX.IND8_clean.fastq.gz	sample_AWF_749906_B1 106
PRJEB14847	SAMEA4347699	ERX1610248	749906	gut metagenome	Illumina HiSeq 2000	AWF_RPOSW_r1	PAIRED	4790930074	exp_AWF_RPOSW_3_C1JJBACXX.IND15	2231611157;2233434550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539371/ERR1539371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539371/ERR1539371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RPOSW_3_1_C1JJBACXX.IND15_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_RPOSW_3_2_C1JJBACXX.IND15_clean.fastq.gz	sample_AWF_749906_B1-068
PRJEB14847	SAMEA4347493	ERX1610112	749906	gut metagenome	Illumina HiSeq 2000	AWF_PMOSW_r1	PAIRED	5644063558	exp_AWF_PMOSW_2_C1JJBACXX.IND17	2577951105;2589470820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539372/ERR1539372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539372/ERR1539372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_PMOSW_2_1_C1JJBACXX.IND17_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_PMOSW_2_2_C1JJBACXX.IND17_clean.fastq.gz	sample_AWF_749906_C2
PRJEB14847	SAMEA4347636	ERX1610404	749906	gut metagenome	Illumina HiSeq 2000	AWF_APOSW_r1	SINGLE	3866376267	exp_AWF_APOSW_5_C0BMEACXX.IND3	3527864963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539373/ERR1539373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675994/fastq/AWF_APOSW_5_C0BMEACXX.IND3_clean.fastq.gz	sample_AWF_749906_A1-131
